task,dataset,n_features,n_classes,n_cal,seed,significance,n_neighbors,normalize_guard,regression_mode,threshold_value,explanation_type,n_test_instances,mean_standard_rules_per_instance,mean_guarded_rules_per_instance,guard_retention_rate,fraction_instances_fully_filtered,n_instances_fully_filtered,task_skipped,skip_reason,error
binary,pc4,37,2,300,1,0.1,5,True,cls,,factual,100,23.08,25.99,0.9213045019496633,0.06,6,False,,
binary,pc4,37,2,300,1,0.1,5,True,cls,,alternative,100,38.19,85.99,0.8557921974522293,0.05,5,False,,
binary,pc4,37,2,300,1,0.2,5,True,cls,,factual,100,23.08,21.74,0.7369491525423729,0.2,20,False,,
binary,pc4,37,2,300,1,0.2,5,True,cls,,alternative,100,38.19,69.41,0.5946200633941574,0.18,18,False,,
binary,pc4,37,2,500,1,0.05,5,True,cls,,factual,100,20.69,28.18,0.9621031068624104,0.03,3,False,,
binary,pc4,37,2,500,1,0.05,5,True,cls,,alternative,100,33.25,85.24,0.9167562916756292,0.03,3,False,,
binary,pc4,37,2,500,1,0.1,5,True,cls,,factual,100,20.69,27.75,0.9487179487179487,0.03,3,False,,
binary,pc4,37,2,500,1,0.1,5,True,cls,,alternative,100,33.25,83.69,0.8833649989444796,0.03,3,False,,
binary,pc4,37,2,500,1,0.2,5,True,cls,,factual,100,20.69,24.01,0.8108747044917257,0.11,11,False,,
binary,pc4,37,2,500,1,0.2,5,True,cls,,alternative,100,33.25,69.96,0.6488592097941013,0.09,9,False,,
binary,pc4,37,2,100,2,0.05,5,True,cls,,factual,100,21.04,22.69,0.911611088790679,0.04,4,False,,
binary,pc4,37,2,100,2,0.05,5,True,cls,,alternative,100,29.02,62.44,0.8773359561613039,0.04,4,False,,
binary,pc4,37,2,100,2,0.1,5,True,cls,,factual,100,21.04,21.03,0.8160651920838184,0.09,9,False,,
binary,pc4,37,2,100,2,0.1,5,True,cls,,alternative,100,29.02,57.52,0.7505219206680585,0.07,7,False,,
binary,pc4,37,2,100,2,0.2,5,True,cls,,factual,100,21.04,18.86,0.7192982456140351,0.17,17,False,,
binary,pc4,37,2,100,2,0.2,5,True,cls,,alternative,100,29.02,51.19,0.6234319814882475,0.12,12,False,,
binary,pc4,37,2,300,2,0.05,5,True,cls,,factual,100,22.87,26.09,0.9347903977069151,0.02,2,False,,
binary,pc4,37,2,300,2,0.05,5,True,cls,,alternative,100,43.47,86.93,0.8936060855263158,0.02,2,False,,
binary,pc4,37,2,300,2,0.1,5,True,cls,,factual,100,22.87,24.63,0.8727852586817859,0.08,8,False,,
