arm,strategy,dataset,seed,epsilon,confidence,n_cal,n_test,coverage,lower_ci,upper_ci,violation,structural_violation,reject_rate,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
A,builtin.default,diabetes,45,0.1,0.9,154,154,0.9155844155844156,0.8599728453563186,0.9542855760329373,False,False,0.37662337662337664,0.8645833333333334,0.538961038961039,83,96,True
C,experimental.difficulty_normalized,diabetes,45,0.1,0.9,154,154,0.9155844155844156,0.8599728453563186,0.9542855760329373,False,False,0.44155844155844154,0.8488372093023255,0.474025974025974,73,86,True
A,builtin.default,diabetes,46,0.05,0.95,154,154,0.9675324675324676,0.9258604591841042,0.9893754248256854,False,False,0.6038961038961039,0.9180327868852459,0.36363636363636365,56,61,True
C,experimental.difficulty_normalized,diabetes,46,0.05,0.95,154,154,0.974025974025974,0.9348335671971228,0.9928785861705218,False,False,0.6233766233766234,0.9310344827586207,0.35064935064935066,54,58,True
A,builtin.default,diabetes,46,0.1,0.9,154,154,0.948051948051948,0.9002092322564991,0.9773086776687551,False,False,0.4935064935064935,0.8974358974358975,0.45454545454545453,70,78,True
C,experimental.difficulty_normalized,diabetes,46,0.1,0.9,154,154,0.8961038961038961,0.8367657548531051,0.9394380347868699,True,False,0.4805194805194805,0.8,0.4155844155844156,64,80,True
A,builtin.default,german,42,0.05,0.95,191,191,0.9581151832460733,0.9191409097037062,0.9817463122110702,False,False,0.7382198952879581,0.84,0.2198952879581152,42,50,True
C,experimental.difficulty_normalized,german,42,0.05,0.95,191,191,0.9424083769633508,0.8992907745806525,0.9709031198232694,True,False,0.7120418848167539,0.8,0.23036649214659685,44,55,True
A,builtin.default,german,42,0.1,0.9,191,191,0.9214659685863874,0.8737782345285949,0.9553798275349161,False,False,0.6020942408376964,0.8026315789473685,0.3193717277486911,61,76,True
C,experimental.difficulty_normalized,german,42,0.1,0.9,191,191,0.8586387434554974,0.8010292357409138,0.9047301021282317,True,False,0.4712041884816754,0.7326732673267327,0.387434554973822,74,101,True
A,builtin.default,german,43,0.05,0.95,191,191,0.93717277486911,0.892825803290704,0.9671179326211378,True,False,0.7643979057591623,0.7333333333333333,0.17277486910994763,33,45,True
C,experimental.difficulty_normalized,german,43,0.05,0.95,191,191,0.93717277486911,0.892825803290704,0.9671179326211378,True,False,0.7068062827225131,0.7857142857142857,0.23036649214659685,44,56,True
A,builtin.default,german,43,0.1,0.9,191,191,0.8743455497382199,0.8188263500930131,0.9178050604816715,True,False,0.5916230366492147,0.6923076923076923,0.28272251308900526,54,78,True
C,experimental.difficulty_normalized,german,43,0.1,0.9,191,191,0.8743455497382199,0.8188263500930131,0.9178050604816715,True,False,0.5026178010471204,0.7473684210526316,0.3717277486910995,71,95,True
A,builtin.default,german,44,0.05,0.95,191,191,0.9633507853403142,0.9259492168389333,0.9851403491492364,False,False,0.7539267015706806,0.851063829787234,0.2094240837696335,40,47,True
C,experimental.difficulty_normalized,german,44,0.05,0.95,191,191,0.93717277486911,0.892825803290704,0.9671179326211378,True,False,0.6910994764397905,0.7966101694915254,0.24607329842931938,47,59,True
A,builtin.default,german,44,0.1,0.9,191,191,0.9476439790575916,0.9058250505276932,0.9746109433181296,False,False,0.7172774869109948,0.8148148148148148,0.23036649214659685,44,54,True
C,experimental.difficulty_normalized,german,44,0.1,0.9,191,191,0.900523560209424,0.8490176910809258,0.9390394608368112,False,False,0.5654450261780105,0.7710843373493976,0.33507853403141363,64,83,True
A,builtin.default,german,45,0.05,0.95,191,191,0.9685863874345549,0.9328828605916799,0.9883862000045711,False,False,0.806282722513089,0.8378378378378378,0.16230366492146597,31,37,True
C,experimental.difficulty_normalized,german,45,0.05,0.95,191,191,0.9790575916230366,0.9472498317429731,0.9942651171992561,False,False,0.8219895287958116,0.8823529411764706,0.15706806282722513,30,34,True
A,builtin.default,german,45,0.1,0.9,191,191,0.9267015706806283,0.8800751798858689,0.9593496406123477,False,False,0.6701570680628273,0.7777777777777778,0.25654450261780104,49,63,True
C,experimental.difficulty_normalized,german,45,0.1,0.9,191,191,0.9476439790575916,0.9058250505276932,0.9746109433181296,False,False,0.675392670157068,0.8387096774193549,0.27225130890052357,52,62,True
A,builtin.default,german,46,0.05,0.95,191,191,0.9476439790575916,0.9058250505276932,0.9746109433181296,True,False,0.6649214659685864,0.84375,0.28272251308900526,54,64,True
C,experimental.difficulty_normalized,german,46,0.05,0.95,191,191,0.9581151832460733,0.9191409097037062,0.9817463122110702,False,False,0.7172774869109948,0.8518518518518519,0.24083769633507854,46,54,True
A,builtin.default,german,46,0.1,0.9,191,191,0.9319371727748691,0.8864226567352542,0.9632643458064425,False,False,0.6335078534031413,0.8142857142857143,0.29842931937172773,57,70,True
C,experimental.difficulty_normalized,german,46,0.1,0.9,191,191,0.9057591623036649,0.8551501981052305,0.943186354842934,False,False,0.518324607329843,0.8043478260869565,0.387434554973822,74,92,True
A,builtin.default,haberman,42,0.05,0.95,57,57,0.9473684210526315,0.8538009356894568,0.9890117441014127,True,False,0.7192982456140351,0.8125,0.22807017543859648,13,16,True
C,experimental.difficulty_normalized,haberman,42,0.05,0.95,57,57,0.9824561403508771,0.9060831581080891,0.9995559265598044,False,False,0.8771929824561403,0.8571428571428571,0.10526315789473684,6,7,True
A,builtin.default,haberman,42,0.1,0.9,57,57,0.9298245614035088,0.8299601800415137,0.9805495793052909,False,False,0.49122807017543857,0.8620689655172413,0.43859649122807015,25,29,True
