task_type,dataset,ncf,w,accept_rate,accepted_accuracy,accepted_accuracy_delta,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
binary,pc1req,ensured,0.5,0.047619047619047616,1.0,0.38095238095238093,1.0,0.047619047619047616,1,1,True
binary,pc1req,ensured,0.7,0.047619047619047616,1.0,0.38095238095238093,1.0,0.047619047619047616,1,1,True
binary,pc1req,ensured,1.0,0.09523809523809523,1.0,0.38095238095238093,1.0,0.09523809523809523,2,2,True
binary,pc4,default,0.3,0.8587360594795539,0.9523809523809523,0.06390511594972559,0.9567099567099567,0.8215613382899628,221,231,True
binary,pc4,default,0.5,0.8587360594795539,0.9523809523809523,0.06390511594972559,0.9567099567099567,0.8215613382899628,221,231,True
binary,pc4,default,0.7,0.8587360594795539,0.9523809523809523,0.06390511594972559,0.9567099567099567,0.8215613382899628,221,231,True
binary,pc4,default,1.0,0.8587360594795539,0.9523809523809523,0.06390511594972559,0.9567099567099567,0.8215613382899628,221,231,True
binary,pc4,ensured,0.3,0.011152416356877323,0.6666666666666666,-0.2218091697645601,0.6666666666666666,0.007434944237918215,2,3,True
binary,pc4,ensured,0.5,0.022304832713754646,0.5,-0.38847583643122674,0.6666666666666666,0.01486988847583643,4,6,True
binary,pc4,ensured,0.7,0.8921933085501859,0.925,0.036524163568773305,0.95,0.8475836431226765,228,240,True
binary,pc4,ensured,1.0,0.8587360594795539,0.9523809523809523,0.06390511594972559,0.9567099567099567,0.8215613382899628,221,231,True
binary,sonar,default,0.3,0.6190476190476191,0.8846153846153846,0.00366300366300365,0.8846153846153846,0.5476190476190477,23,26,True
binary,sonar,default,0.5,0.6190476190476191,0.8846153846153846,0.00366300366300365,0.8846153846153846,0.5476190476190477,23,26,True
binary,sonar,default,0.7,0.6190476190476191,0.8846153846153846,0.00366300366300365,0.8846153846153846,0.5476190476190477,23,26,True
binary,sonar,default,1.0,0.6190476190476191,0.8846153846153846,0.00366300366300365,0.8846153846153846,0.5476190476190477,23,26,True
binary,sonar,ensured,0.3,0.19047619047619047,1.0,0.11904761904761907,1.0,0.19047619047619047,8,8,True
binary,sonar,ensured,0.5,0.3333333333333333,0.8571428571428571,-0.023809523809523836,0.8571428571428571,0.2857142857142857,12,14,True
binary,sonar,ensured,0.7,0.40476190476190477,0.8235294117647058,-0.05742296918767509,0.8235294117647058,0.3333333333333333,14,17,True
binary,sonar,ensured,1.0,0.6190476190476191,0.8846153846153846,0.00366300366300365,0.8846153846153846,0.5476190476190477,23,26,True
binary,spect,default,0.3,0.5681818181818182,0.92,0.033636363636363686,0.92,0.5227272727272727,23,25,True
binary,spect,default,0.5,0.5681818181818182,0.92,0.033636363636363686,0.92,0.5227272727272727,23,25,True
binary,spect,default,0.7,0.5681818181818182,0.92,0.033636363636363686,0.92,0.5227272727272727,23,25,True
binary,spect,default,1.0,0.5681818181818182,0.92,0.033636363636363686,0.92,0.5227272727272727,23,25,True
binary,spect,ensured,0.3,0.0,,,,0.0,0,0,False
binary,spect,ensured,0.5,0.045454545454545456,1.0,0.11363636363636365,0.0,0.0,0,2,True
binary,spect,ensured,0.7,0.6136363636363636,0.9259259259259259,0.039562289562289576,0.8518518518518519,0.5227272727272727,23,27,True
binary,spect,ensured,1.0,0.5681818181818182,0.92,0.033636363636363686,0.92,0.5227272727272727,23,25,True
binary,spectf,default,0.3,0.5740740740740741,0.967741935483871,0.1899641577060932,0.967741935483871,0.5555555555555556,30,31,True
binary,spectf,default,0.5,0.5740740740740741,0.967741935483871,0.1899641577060932,0.967741935483871,0.5555555555555556,30,31,True
binary,spectf,default,0.7,0.5740740740740741,0.967741935483871,0.1899641577060932,0.967741935483871,0.5555555555555556,30,31,True
binary,spectf,default,1.0,0.5740740740740741,0.967741935483871,0.1899641577060932,0.967741935483871,0.5555555555555556,30,31,True
binary,spectf,ensured,0.3,0.05555555555555555,0.3333333333333333,-0.4444444444444445,0.3333333333333333,0.018518518518518517,1,3,True
binary,spectf,ensured,0.5,0.05555555555555555,0.3333333333333333,-0.4444444444444445,0.3333333333333333,0.018518518518518517,1,3,True
binary,spectf,ensured,0.7,0.46296296296296297,0.92,0.14222222222222225,0.92,0.42592592592592593,23,25,True
binary,spectf,ensured,1.0,0.5740740740740741,0.967741935483871,0.1899641577060932,0.967741935483871,0.5555555555555556,30,31,True
binary,transfusion,default,0.3,0.49504950495049505,0.8,0.0871287128712872,0.8,0.39603960396039606,40,50,True
binary,transfusion,default,0.5,0.49504950495049505,0.8,0.0871287128712872,0.8,0.39603960396039606,40,50,True
binary,transfusion,default,0.7,0.49504950495049505,0.8,0.0871287128712872,0.8,0.39603960396039606,40,50,True
binary,transfusion,default,1.0,0.49504950495049505,0.8,0.0871287128712872,0.8,0.39603960396039606,40,50,True
binary,transfusion,ensured,0.3,0.49504950495049505,0.8,0.0871287128712872,0.8,0.39603960396039606,40,50,True
binary,transfusion,ensured,0.5,0.49504950495049505,0.8,0.0871287128712872,0.8,0.39603960396039606,40,50,True
binary,transfusion,ensured,0.7,0.49504950495049505,0.8,0.0871287128712872,0.8,0.39603960396039606,40,50,True
binary,transfusion,ensured,1.0,0.49504950495049505,0.8,0.0871287128712872,0.8,0.39603960396039606,40,50,True
binary,ttt,default,0.3,0.96875,1.0,0.015625,1.0,0.96875,186,186,True
binary,ttt,default,0.5,0.96875,1.0,0.015625,1.0,0.96875,186,186,True
binary,ttt,default,0.7,0.96875,1.0,0.015625,1.0,0.96875,186,186,True
