dataset,confidence,method,difficulty_estimator,requested_reject_rate,empirical_reject_rate,accepted_coverage,accepted_interval_width,accepted_mae,accepted_mse,interval_coverage_all,mse_all,guarantee_status
heating,0.95,paper_difficulty_mondrian,default,0.2,0.24675324675324675,0.9396551724137931,0.05522136331596396,0.008619483829143786,0.00016802543347803277,0.9285714285714286,0.00021772713294316052,target_formal_result
heating,0.95,paper_difficulty_mondrian,default,0.30000000000000004,0.2987012987012987,0.962962962962963,0.05517306519977986,0.00787602801874601,0.00014735008288121817,0.9285714285714286,0.00021772713294316052,target_formal_result
heating,0.95,paper_difficulty_mondrian,default,0.4,0.38961038961038963,0.9787234042553191,0.055120973728393655,0.006244446944052959,9.769230525191939e-05,0.9285714285714286,0.00021772713294316052,target_formal_result
heating,0.95,paper_difficulty_mondrian,default,0.5,0.5324675324675324,0.9861111111111112,0.0550483743733183,0.004426578600837451,5.871987431876523e-05,0.9285714285714286,0.00021772713294316052,target_formal_result
heating,0.95,threshold_baseline,none,0.1,0.05194805194805195,0.910958904109589,0.05269165093915735,0.0109270335885438,0.00030577968244028305,0.9155844155844156,0.0002908619581558709,heuristic
heating,0.95,threshold_baseline,none,0.2,0.0,0.8961038961038961,0.04548807917228892,0.01061104100577772,0.0002437516409256192,0.8961038961038961,0.0002437516409256192,heuristic
heating,0.95,threshold_baseline,none,0.30000000000000004,0.0,0.8506493506493507,0.047245439022200575,0.010848188389304497,0.00022754708314319234,0.8506493506493507,0.00022754708314319234,heuristic
heating,0.95,threshold_baseline,none,0.4,0.01948051948051948,0.9139072847682119,0.04749274573812345,0.009299402244017032,0.00018055154595328162,0.9155844155844156,0.0001778317525321098,heuristic
heating,0.95,threshold_baseline,none,0.5,0.032467532467532464,0.9194630872483222,0.04764121244828212,0.009095754088840804,0.00018404572584943547,0.922077922077922,0.0001807566579789828,heuristic
heating,0.95,value_bin_width_baseline,predicted_value_bins,,0.0,0.935064935064935,0.05412592032559387,0.01100158569214613,0.00023475804642382624,0.935064935064935,0.00023475804642382624,heuristic
heating,0.95,value_bin_width_baseline,predicted_value_bins,,0.43506493506493504,0.8045977011494253,0.032044920140582675,0.008045104102827104,0.00015524001008007397,0.8701298701298701,0.00024069030459898072,heuristic
housing,0.95,paper_difficulty_mondrian,default,0.1,0.0998062015503876,0.9687836383207751,0.03201118968182168,0.004399892357373519,0.0006559472551130247,0.9035852713178294,0.002377827699383614,target_formal_result
housing,0.95,paper_difficulty_mondrian,default,0.2,0.19428294573643412,0.9966927239927841,0.030040363132739025,0.0017306825015033053,0.0003760160373655375,0.9035852713178294,0.002377827699383614,target_formal_result
housing,0.95,paper_difficulty_mondrian,default,0.30000000000000004,0.27810077519379844,0.9979865771812081,0.02945999336267161,0.0007676174496644291,0.00025187884507829974,0.9035852713178294,0.002377827699383614,target_formal_result
housing,0.95,paper_difficulty_mondrian,default,0.4,0.311531007751938,0.9978888106966924,0.029389698685219977,0.0007037297677691766,0.00026389866291344125,0.9035852713178294,0.002377827699383614,target_formal_result
housing,0.95,paper_difficulty_mondrian,default,0.5,0.311531007751938,0.9978888106966924,0.029389698685219977,0.0007037297677691766,0.00026389866291344125,0.9035852713178294,0.002377827699383614,target_formal_result
housing,0.95,threshold_baseline,none,0.1,0.9474321705426356,1.0,0.06874999999999998,0.0,0.0,0.907703488372093,0.0023924035886358744,heuristic
housing,0.95,threshold_baseline,none,0.2,0.3963178294573643,0.9153290529695024,0.06458333333333333,0.010982644462279293,0.0014752816652175852,0.8984980620155039,0.002166472573818368,heuristic
