seed,model,n_dim,method,significance,metric,value
1,rf,10,standard,0.01,representative_violation_rate,0.033165829145728645
1,rf,10,standard,0.01,rule_count,8.998
1,rf,10,standard,0.01,candidate_violation_auroc,
1,rf,10,multibin_noguard,0.01,representative_violation_rate,0.002004008016032064
1,rf,10,multibin_noguard,0.01,rule_count,9.674
1,rf,10,multibin_noguard,0.01,candidate_violation_auroc,0.8748320391772596
1,rf,10,guarded,0.01,representative_violation_rate,0.0020639834881320948
1,rf,10,guarded,0.01,rule_count,9.328
1,rf,10,guarded,0.01,candidate_violation_auroc,0.8748320391772596
1,rf,10,random_pruned_multibin,0.01,representative_violation_rate,0.0020855057351407717
1,rf,10,random_pruned_multibin,0.01,rule_count,9.328
1,rf,10,random_pruned_multibin,0.01,candidate_violation_auroc,
1,rf,10,standard,0.05,representative_violation_rate,0.033165829145728645
1,rf,10,standard,0.05,rule_count,8.998
1,rf,10,standard,0.05,candidate_violation_auroc,
1,rf,10,multibin_noguard,0.05,representative_violation_rate,0.002004008016032064
1,rf,10,multibin_noguard,0.05,rule_count,9.674
1,rf,10,multibin_noguard,0.05,candidate_violation_auroc,0.8748320391772596
1,rf,10,guarded,0.05,representative_violation_rate,0.0011185682326621924
1,rf,10,guarded,0.05,rule_count,8.484
1,rf,10,guarded,0.05,candidate_violation_auroc,0.8748320391772596
1,rf,10,random_pruned_multibin,0.05,representative_violation_rate,0.002290950744558992
1,rf,10,random_pruned_multibin,0.05,rule_count,8.484
1,rf,10,random_pruned_multibin,0.05,candidate_violation_auroc,
1,rf,10,standard,0.1,representative_violation_rate,0.033165829145728645
1,rf,10,standard,0.1,rule_count,8.998
1,rf,10,standard,0.1,candidate_violation_auroc,
1,rf,10,multibin_noguard,0.1,representative_violation_rate,0.002004008016032064
1,rf,10,multibin_noguard,0.1,rule_count,9.674
1,rf,10,multibin_noguard,0.1,candidate_violation_auroc,0.8748320391772596
1,rf,10,guarded,0.1,representative_violation_rate,0.0
1,rf,10,guarded,0.1,rule_count,7.672
1,rf,10,guarded,0.1,candidate_violation_auroc,0.8748320391772596
1,rf,10,random_pruned_multibin,0.1,representative_violation_rate,0.0024875621890547263
1,rf,10,random_pruned_multibin,0.1,rule_count,7.672
1,rf,10,random_pruned_multibin,0.1,candidate_violation_auroc,
1,rf,10,standard,0.2,representative_violation_rate,0.033165829145728645
1,rf,10,standard,0.2,rule_count,8.998
1,rf,10,standard,0.2,candidate_violation_auroc,
1,rf,10,multibin_noguard,0.2,representative_violation_rate,0.002004008016032064
1,rf,10,multibin_noguard,0.2,rule_count,9.674
1,rf,10,multibin_noguard,0.2,candidate_violation_auroc,0.8748320391772596
1,rf,10,guarded,0.2,representative_violation_rate,0.0
1,rf,10,guarded,0.2,rule_count,6.424
1,rf,10,guarded,0.2,candidate_violation_auroc,0.8748320391772596
1,rf,10,random_pruned_multibin,0.2,representative_violation_rate,0.0029542097488921715
1,rf,10,random_pruned_multibin,0.2,rule_count,6.424
1,rf,10,random_pruned_multibin,0.2,candidate_violation_auroc,
2,logreg,2,standard,0.01,representative_violation_rate,0.032
2,logreg,2,standard,0.01,rule_count,2.0
2,logreg,2,standard,0.01,candidate_violation_auroc,
2,logreg,2,multibin_noguard,0.01,representative_violation_rate,0.009
2,logreg,2,multibin_noguard,0.01,rule_count,2.0
2,logreg,2,multibin_noguard,0.01,candidate_violation_auroc,0.9600978090405959
2,logreg,2,guarded,0.01,representative_violation_rate,0.005045408678102927
2,logreg,2,guarded,0.01,rule_count,1.982
2,logreg,2,guarded,0.01,candidate_violation_auroc,0.9600978090405959
