file,line,name,type,category,pattern,message
tests\unit\core\test_wrap_explainer_helpers.py,407,_pre_fitted,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,88,_normalize_auto_encode_flag,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,90,_normalize_auto_encode_flag,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,92,_normalize_auto_encode_flag,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,94,_normalize_auto_encode_flag,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,132,_build_preprocessor_metadata,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,194,_format_proba_output,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,372,_serialise_preprocessor_value,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,378,_serialise_preprocessor_value,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,387,_pre_fit_preprocess,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,78,_normalize_public_kwargs,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,81,_normalize_public_kwargs,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\explain\test_explain_orchestrator.py,23,_bridge_monitors,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\calibrated_explainer.py
